Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
09/05/2015,Chapecoense-SC,Coritiba,2,1,H,2.21,3.24,3.77
09/05/2015,Palmeiras,Atletico-MG,2,2,D,1.72,3.72,5.76
10/05/2015,Fluminense,Joinville,1,0,H,1.62,3.89,6.69
10/05/2015,Gremio,Ponte Preta,3,3,D,1.64,3.71,6.64
10/05/2015,Athletico-PR,Internacional,3,0,H,2.19,3.31,3.74
10/05/2015,Cruzeiro,Corinthians,0,1,A,2.84,3.24,2.74
10/05/2015,Sao Paulo,Flamengo RJ,2,1,H,2.23,3.38,3.6
10/05/2015,Sport Recife,Figueirense,4,1,H,1.71,3.66,5.91
10/05/2015,Avai,Santos,1,1,D,3.82,3.47,2.11
10/05/2015,Vasco,Goias,0,0,D,1.66,3.72,6.46
16/05/2015,Coritiba,Gremio,2,0,H,2.6,3.18,3.06
16/05/2015,Goias,Athletico-PR,2,0,H,2.3,3.21,3.6
17/05/2015,Corinthians,Chapecoense-SC,1,0,H,1.71,3.68,5.95
17/05/2015,Figueirense,Vasco,0,0,D,2.58,3.18,3.08
17/05/2015,Atletico-MG,Fluminense,4,1,H,2.04,3.43,4.1
17/05/2015,Flamengo RJ,Sport Recife,2,2,D,1.68,3.89,5.7
17/05/2015,Santos,Cruzeiro,1,0,H,1.88,3.57,4.7
17/05/2015,Internacional,Avai,1,0,H,1.76,3.9,5.01
17/05/2015,Joinville,Palmeiras,0,0,D,3.3,3.21,2.43
17/05/2015,Ponte Preta,Sao Paulo,1,0,H,3.11,3.25,2.53
23/05/2015,Sao Paulo,Joinville,3,0,H,1.48,4.21,8.78
23/05/2015,Vasco,Internacional,1,1,D,1.89,3.46,4.81
24/05/2015,Gremio,Figueirense,1,0,H,1.53,4.1,7.9
24/05/2015,Palmeiras,Goias,0,1,A,1.63,3.91,6.64
24/05/2015,Athletico-PR,Atletico-MG,1,0,H,3.68,3.35,2.2
24/05/2015,Avai,Flamengo RJ,2,1,H,2.96,3.16,2.73
24/05/2015,Chapecoense-SC,Santos,1,0,H,2.81,3.17,2.83
24/05/2015,Fluminense,Corinthians,0,0,D,2.77,3.17,2.87
